Plate	Well	Well Number	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Cell Line or Strain]	Term Source 2 REF	Term Source 2 Accession	Protein	Abbreviation	Protein sequence (aa)	UniProt	Addgene ID	Subcellular	Gene Symbol	Analysis Gene Annotation Build	Gene Annotation Comments	Control Type	Control Comments	Quality Control	Quality Control Comments	Channels	Comments
WS_MCF10A_landmarks_20180615__Meas_01	M3		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	M4		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	M5		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	M7		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	M8		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	M9		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	M10		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	M11		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	M12		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	M13		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	M14		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	M15		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	M16		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	M17		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	M18		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	M19		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	M20		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	M21		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	M22		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	P1		Homo sapiens			MCF10A			Vesicle-associated membrane protein 5	VAMP5	1-116	O95183	134662	plasma membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	P2		Homo sapiens			MCF10A			Vesicle-associated membrane protein 5	VAMP5	1-116	O95183	134662	plasma membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	P3		Homo sapiens			MCF10A			Vesicle-associated membrane protein 5	VAMP5	1-116	O95183	134662	plasma membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	P4		Homo sapiens			MCF10A			Vesicle-associated membrane protein 5	VAMP5	1-116	O95183	134662	plasma membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	P5		Homo sapiens			MCF10A			Vesicle-associated membrane protein 5	VAMP5	1-116	O95183	134662	plasma membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	P6		Homo sapiens			MCF10A			Vesicle-associated membrane protein 5	VAMP5	1-116	O95183	134662	plasma membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	P7		Homo sapiens			MCF10A			Vesicle-associated membrane protein 5	VAMP5	1-116	O95183	134662	plasma membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	P8		Homo sapiens			MCF10A			Vesicle-associated membrane protein 5	VAMP5	1-116	O95183	134662	plasma membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	P9		Homo sapiens			MCF10A			Vesicle-associated membrane protein 5	VAMP5	1-116	O95183	134662	plasma membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	P10		Homo sapiens			MCF10A			Vesicle-associated membrane protein 5	VAMP5	1-116	O95183	134662	plasma membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	P11		Homo sapiens			MCF10A			Vesicle-associated membrane protein 5	VAMP5	1-116	O95183	134662	plasma membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	P12		Homo sapiens			MCF10A			Vesicle-associated membrane protein 5	VAMP5	1-116	O95183	134662	plasma membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	P13		Homo sapiens			MCF10A			Vesicle-associated membrane protein 5	VAMP5	1-116	O95183	134662	plasma membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	P14		Homo sapiens			MCF10A			Vesicle-associated membrane protein 5	VAMP5	1-116	O95183	134662	plasma membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	P15		Homo sapiens			MCF10A			Vesicle-associated membrane protein 5	VAMP5	1-116	O95183	134662	plasma membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	P16		Homo sapiens			MCF10A			Vesicle-associated membrane protein 5	VAMP5	1-116	O95183	134662	plasma membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	P17		Homo sapiens			MCF10A			Vesicle-associated membrane protein 5	VAMP5	1-116	O95183	134662	plasma membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	P18		Homo sapiens			MCF10A			Vesicle-associated membrane protein 5	VAMP5	1-116	O95183	134662	plasma membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	P19		Homo sapiens			MCF10A			Vesicle-associated membrane protein 5	VAMP5	1-116	O95183	134662	plasma membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	P20		Homo sapiens			MCF10A			Vesicle-associated membrane protein 5	VAMP5	1-116	O95183	134662	plasma membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N1		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N2		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N3		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N4		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N5		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N6		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N7		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N8		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N9		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N10		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N11		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N12		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N13		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N14		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N15		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N16		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N17		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N18		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N19		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N21		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N21		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N22		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N23		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180615__Meas_01	N24		Homo sapiens			MCF10A			Golgi SNAP receptor complex member 2	Membrin	1-212	O14653	134865	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E1		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E2		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E3		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E4		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E5		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E6		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E7		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E8		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E9		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E10		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E11		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E12		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E13		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E14		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E15		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E16		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E17		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E18		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E19		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E20		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E21		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E22		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E23		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	E24		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	G1		Homo sapiens			MCF10A			Bcl-2 interacting killer 	Bik	111-160	Q13323	133026	endoplasmic reticulum								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	G2		Homo sapiens			MCF10A			Bcl-2 interacting killer 	Bik	111-160	Q13323	133026	endoplasmic reticulum								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	K1		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	K2		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	K3		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	K4		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	K5		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	K6		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	K7		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	K8		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	K9		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	K10		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	K11		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	K12		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	K13		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	K14		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	K15		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	K16		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	K17		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	K18		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	K19		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	K20		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180621__Meas_01	K21		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A-landmark_library_20180506__Meas_01	A17		Homo sapiens			MCF10A			Vesicle-associated membrane protein 2	VAMP2	1-116	P63027	134661	secretory vesicles								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A-landmark_library_20180506__Meas_01	A5		Homo sapiens			MCF10A			"beta 1,4-galactosyl-transferase"	GalT	1-81	P15291	134862	Golgi apparatus								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A-landmark_library_20180506__Meas_01	A22		Homo sapiens			MCF10A			Lysosomal-associated membrane protein 1	LAMP-1	1-417	P11279	134868	Lysosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A-landmark_library_20180506__Meas_01	A23		Homo sapiens			MCF10A			Lysosomal-associated membrane protein 1	LAMP-1	1-417	P11279	134868	Lysosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A-landmark_library_20180506__Meas_01	A3		Homo sapiens			MCF10A			Neuromodulin	Neuromodulin	1-20	P17677	134666	plasma membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A-landmark_library_20180506__Meas_01	A4		Homo sapiens			MCF10A			Neuromodulin	Neuromodulin	1-20	P17677	134666	plasma membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A-landmark_library_20180506__Meas_01	A12		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A-landmark_library_20180506__Meas_01	A13		Homo sapiens			MCF10A			Peroxisome targeting signal 1	PTS-1	SKL	N/A	134665	Peroxisome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A-landmark_library_20180506__Meas_01	A16		Homo sapiens			MCF10A			Ras-related protein 11B	Rab11	1-218	Q15907	134860	recycling endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A-landmark_library_20180506__Meas_01	A10		Homo sapiens			MCF10A			Ras-related protein 3C	Rab3	1-227	Q96E17	134857	secretory vesicles								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A-landmark_library_20180506__Meas_01	A11		Homo sapiens			MCF10A			Ras-related protein 3C	Rab3	1-227	Q96E17	134857	secretory vesicles								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A-landmark_library_20180506__Meas_01	A20		Homo sapiens			MCF10A			Ras-related protein 5A	Rab5	1-205	A0A024R2K1	134858	early endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A-landmark_library_20180506__Meas_01	A21		Homo sapiens			MCF10A			Ras-related protein 5A	Rab5	1-205	A0A024R2K1	134858	early endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A-landmark_library_20180506__Meas_01	A6		Homo sapiens			MCF10A			Ras-related protein 7A	Rab7	1-205	A0A158RFU6	133027	late endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A-landmark_library_20180506__Meas_01	A7		Homo sapiens			MCF10A			Ras-related protein 7A	Rab7	1-205	A0A158RFU6	133027	late endosome								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A-landmark_library_20180506__Meas_01	A14		Homo sapiens			MCF10A			Bcl-2 interacting killer 	Bik	111-160	Q13323	133026	endoplasmic reticulum								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A-landmark_library_20180506__Meas_01	A15		Homo sapiens			MCF10A			Bcl-2 interacting killer 	Bik	111-160	Q13323	133026	endoplasmic reticulum								"EGFP (protein of interest), DRAQ5 (DNA)"	
